id,company_name,location,country,website,contact_emails,contact_role,description,employee_estimate,source_platform,source_job
766,FuseAI,"San Francisco, CA",United States,https://tryfuse.ai,,engineering hiring,#1 AI Platform for Outbound Sales,11-50,LinkedIn,Founding Engineer / Software Engineer
767,"Galactic Resource Utilization Space, Inc. (GRU Space)","San Francisco, CA",United States,https://gru.space,,engineering hiring,Moon Hotel -> The Intergalactic Construction Company of Earth,~5,LinkedIn,Founding Engineer / Software Engineer
768,Geekbears,"Austin, TX",United States,https://geekbears.com,,hiring,Software services firm (11-50) hiring full-stack engineers in Austin.,11-50,Indeed,Senior Full-Stack Engineer
769,GETASAP,"San Francisco, CA",United States,https://www.getasap.us,,engineering hiring,"AI-Native Fresh Produce Logistics Tags: B2B, Logistics, Supply Chain",11-50,LinkedIn,Founding Engineer / Software Engineer
770,Godela,"San Francisco, CA",United States,https://godela.ai,,engineering hiring,"AI Physics Engine to replace simulations and prototypes Tags: Artificial Intelligence, Hard Tech, Hardware, Aerospace, ML",1-10,LinkedIn,Founding Engineer / Software Engineer
771,Gojiberry AI,"San Francisco, CA",United States,https://www.gojiberry.ai,,engineering hiring,AI Go-To-Market agents for B2B teams,1-10,LinkedIn,Founding Engineer / Software Engineer
772,Green Line Digital,United States (Remote),United States,https://greenlinedigital.com,,agency lead,Remote-US digital agency hiring frontend developers for ecommerce builds.,2-10,LinkedIn,Frontend Developer
773,Halluminate,"San Francisco, CA",United States,https://halluminate.ai,,engineering hiring,Data and RL environments to automate knowledge work,~5,LinkedIn,Founding Engineer / Software Engineer
774,Harper,"San Francisco, CA",United States,https://www.harperinsure.com,,engineering hiring,"AI-native commercial insurance brokerage Tags: Fintech, Insurance, AI",11-50,LinkedIn,Founding Engineer / Software Engineer
775,Hedge,"San Francisco, CA",United States,https://www.hedgespecialty.com,,engineering hiring,AI-Native wholesale insurance company,~2,LinkedIn,Founding Engineer / Software Engineer
776,Helios & Partners,"Santa Monica, CA / Remote USA",United States,,,agency lead,US digital agency hiring Shopify developers (onsite or USA remote).,11-50,LinkedIn,"Shopify Developer, Onsite or USA Remote"
777,Hemut,"San Francisco, CA",United States,https://www.hemut.com,,engineering hiring,"AI-powered operating system for trucking companies. Tags: SaaS, Logistics, AI",~3,LinkedIn,Founding Engineer / Software Engineer
778,Heron Data,"New York, NY",United States,https://herondata.io,,engineering / founders,Fintech software company hiring engineers for financial products.,11-50,LinkedIn,Platform Engineer
779,Hex Security,"San Francisco, CA",United States,https://hex.co?utm_source=bookface&utm_medium=referral&utm_campaign=hex-security-profile,,engineering hiring,Agentic Offensive Security at Scale,1-10,LinkedIn,Founding Engineer / Software Engineer
780,Highland Group,"Grand Rapids, MI, United States",United States,,,agency lead,Michigan digital agency hiring digital experience developers.,11-50,LinkedIn,Digital Experience Developer
781,hillclimb,"San Francisco, CA",United States,https://hillclimb.com,,engineering hiring,Training Data for Recursive Self-Improvement Tags: Reinforcement Learning,~4,LinkedIn,Founding Engineer / Software Engineer
782,Hiller Measurements,"Austin, TX",United States,https://hillermeasurements.com,,hiring,Austin engineering/software firm (11-50) with software engineer postings on Indeed.,11-50,Indeed,Software Engineer
783,HirexHire,"Chicago, IL",United States,https://hirexhire.com,,hiring,Ops/people platform posting React Native senior engineer roles on Indeed Chicago.,11-50,Indeed,Sr. Software Engineer (React Native)
784,Hot House Digital,United States (Remote),United States,,,hiring,Digital agency hiring SEO/website optimization specialists alongside developers.,1-20,Indeed,SEO Specialist / Website Optimization Specialist
785,Hub,"San Francisco, CA",United States,https://hub.xyz,,engineering hiring,"Real-world training data for frontier AI labs and robotics. Tags: Robotics, Crowdsourcing, Big Data, Infrastructure, AI",1-10,LinkedIn,Founding Engineer / Software Engineer
786,hud,"San Francisco, CA",United States,https://www.hud.ai,,engineering hiring,"Platform for building RL environments and evals Tags: Reinforcement Learning, AI",11-50,LinkedIn,Founding Engineer / Software Engineer
787,Human Archive,"San Francisco, CA",United States,https://www.humanarchive.ai,,engineering hiring,Multimodal data provider for robotics and world modeling,~4,LinkedIn,Founding Engineer / Software Engineer
788,HumanLayer,"San Francisco, CA",United States,https://humanlayer.com,,engineering hiring,"Ship 2-3x faster without AI slopping up your codebase Tags: Artificial Intelligence, Developer Tools",~2,LinkedIn,Founding Engineer / Software Engineer
789,Humoniq,"Boulder, CO",United States,,,hiring,YC S25 startup building AI systems for travel/transport; hiring founding backend engineer.,1-10,LinkedIn,Back-End Engineer
790,Humwork,"San Francisco, CA",United States,https://humwork.ai,,engineering hiring,Human experts as API for AI Agents,~2,LinkedIn,Founding Engineer / Software Engineer
791,Huscarl,"San Francisco, CA",United States,https://www.huscarl.io,,engineering hiring,AI-native actuary enabling self-insurance for corporations,~2,LinkedIn,Founding Engineer / Software Engineer
792,Hypercubic,"San Francisco, CA",United States,https://www.hypercubic.ai,,engineering hiring,Agentic AI for Mainframe Operations and Modernization,~3,LinkedIn,Founding Engineer / Software Engineer
793,Hyperspell,"San Francisco, CA",United States,https://hyperspell.com,,engineering hiring,"Your Company Brain Tags: Machine Learning, SaaS, Data Engineering, AI",1-10,LinkedIn,Founding Engineer / Software Engineer
794,Icarus,"Los Angeles, CA",United States,https://www.icarus.one,,engineering hiring,"Stratospheric birds for defense Tags: Hardware, Aerospace",11-50,LinkedIn,Founding Engineer / Software Engineer
795,Idler,"San Francisco, CA",United States,https://idler.ai,,engineering hiring,Reinforcement learning environments. Tags: Reinforcement Learning,11-50,LinkedIn,Founding Engineer / Software Engineer
796,Imagine AI,"San Francisco, CA",United States,https://imagineai.me,,engineering hiring,"We reverse engineer B2B growth, starting with LinkedIn. Tags: Artificial Intelligence, B2B, Sales, Marketing",~5,LinkedIn,Founding Engineer / Software Engineer
797,Imprezia,"San Francisco, CA",United States,https://imprezia.ai,,engineering hiring,The World's First AI Ad Network.,~4,LinkedIn,Founding Engineer / Software Engineer
798,In-Depth Engineering Corporation,"King of Prussia, PA",United States,https://www.indepth.com,,hiring,Engineering firm hiring frontend and backend software engineers.,51-100,Indeed,"Frontend Software Engineers - King of Prussia, PA"
799,Infinite,"San Francisco, CA",United States,https://infinite.dev,,engineering hiring,"Global B2B Stablecoin Processor Tags: Developer Tools, Payments, B2B, Compliance",~4,LinkedIn,Founding Engineer / Software Engineer
800,Insite Building Services,"Clearwater, FL",United States,,,hiring,Building services tech team hiring lead full-stack engineer.,11-50,Indeed,Lead Full-Stack Engineer
801,Intelligence Factory,"San Francisco, CA",United States,https://intelligence-factory.com,,engineering hiring,Human Intelligence for Robots,~5,LinkedIn,Founding Engineer / Software Engineer
802,Interface,"New York, NY",United States,https://www.theinterface.com,,engineering hiring,Building onestop.sh Tags: AI,~2,LinkedIn,Founding Engineer / Software Engineer
803,Interfere,"New York, NY",United States,https://interfere.com,,engineering hiring,"Production visibility for teams that ship fast Tags: Artificial Intelligence, Developer Tools, Design",1-10,LinkedIn,Founding Engineer / Software Engineer
804,InterProse,United States (Remote),United States,https://www.interprose.com,,hiring,Software firm posting software engineering manager roles on Indeed.,11-50,Indeed,Software Engineering Manager
805,Invictech Inc.,"New Jersey, United States",United States,,,engineering lead,US software firm hiring web developers via LinkedIn Jobs.,2-10,LinkedIn,WEB DEVELOPER
806,IronLedger.ai,"New York City, NY",United States,https://ironledger.ai,,engineering hiring,AI-enabled Corporate Cards and Invoice Processing for Real Estate,~2,LinkedIn,Founding Engineer / Software Engineer
807,item,"San Francisco, CA",United States,https://item.app,,engineering hiring,"The AI-Native CRM that works for you Tags: B2B, Automation, AI Assistant",1-10,LinkedIn,Founding Engineer / Software Engineer
808,Jarmin,"San Francisco, CA",United States,https://jarmin.ai,,engineering hiring,AI Employees for human-level roles,~5,LinkedIn,Fullstack Engineer
809,Juno,"San Francisco, CA",United States,https://junocompanion.com,,engineering hiring,AI Health Assistant for Chronic Illness,~2,LinkedIn,Founding Engineer / Software Engineer
810,Justinian,"San Francisco, CA",United States,https://justinianai.com,,engineering hiring,"Builders of the first AI-native government affairs firm. Tags: GovTech, AI",~2,LinkedIn,Founding Engineer / Software Engineer
811,Kalinda,"San Francisco, CA",United States,https://www.kalinda.ai,,engineering hiring,Deep research for class action law firms,~2,LinkedIn,Founding Engineer / Software Engineer
812,Kalpa Labs,"San Francisco, CA",United States,https://kalpalabs.ai,,engineering hiring,Scaling Generalist Speech models,~2,LinkedIn,Founding Engineer / Software Engineer
813,Kanbrick,"Nashville, TN",United States,https://www.kanbrick.com,,engineering / agency lead,Kanbrick is a long-term investment partnership focused on empowering people and organizations to reach their full pot...,11-50,LinkedIn,Forward Deployed Engineer
814,Karsa,"New York, NY",United States,https://gokarsa.com,,engineering hiring,"Stablecoin neobank for emerging markets Tags: Fintech, Emerging Markets, Cryptocurrency",~2,LinkedIn,Founding Engineer / Software Engineer
815,Kilvin,"New York, NY",United States,https://www.kilvin.ai,,engineering hiring,"Custom software for non-technical teams. Tags: Developer Tools, Productivity, Data Engineering, Automation, AI",~3,LinkedIn,Founding Engineer / Software Engineer
816,Kinro,"San Francisco, CA",United States,https://www.kinro.com,,engineering hiring,Autonomous insurance brokerage for small businesses,~3,LinkedIn,Founding Engineer / Software Engineer
817,Koah,"San Francisco, CA",United States,https://koah.ai,,hiring,Monetization platform for AI apps via contextual ads; 1-10 employees.,1-10,LinkedIn,Software Engineer – Backend
818,KugelAudio,"San Francisco, CA",United States,https://kugelaudio.com/en,,engineering hiring,Kugel is an on-prem Voice AI model supporting 30+ languages,~4,LinkedIn,Founding Engineer / Software Engineer
819,Labric,"San Francisco, CA",United States,https://labric.co,,engineering hiring,The data layer for scientific research,~2,LinkedIn,Founding Engineer / Software Engineer
820,Lance,"San Francisco, CA",United States,https://www.lance.live,,engineering hiring,AI Agents That Run Hotel Operations.,1-10,LinkedIn,Founding Software Engineer
821,Lanesurf,"San Francisco, CA",United States,https://www.lanesurf.com,,engineering hiring,"Book any load in 10 minutes Tags: Artificial Intelligence, B2B, Logistics, Supply Chain, AI",1-10,LinkedIn,Founding Engineer / Software Engineer
822,Leadbay,"San Francisco, CA",United States,https://leadbay.ai,,engineering hiring,"Qualify millions of Data-Signal-Scarce leads that couldn't be found… Tags: B2B, Sales, AI",1-10,LinkedIn,Founding Engineer / Software Engineer
823,Leaping AI,"San Francisco, CA",United States,https://www.leapingai.com,,engineering hiring,"AI voice and texting agents Tags: Artificial Intelligence, B2B, Conversational AI",11-50,LinkedIn,Founding Engineer / Software Engineer
824,Lendzi,"Boca Raton, FL",United States,https://lendzi.com,,hiring,Fintech lending platform hiring senior PHP/Laravel engineers.,11-50,Indeed,Senior PHP / Laravel Engineer
825,Lightberry,"San Francisco, CA",United States,https://lightberry.com,,engineering hiring,"The social brain for robots. Tags: Hard Tech, Hardware, Robotics, Design, Conversational AI",~3,LinkedIn,Founding Engineer / Software Engineer
826,Lightfield,"San Francisco, CA",United States,https://lightfield.app,,hiring,B2B collaboration platform for founders capturing customer interactions.,11-50,LinkedIn,Software Engineer
827,Liva AI,"San Francisco, CA",United States,https://www.theliva.ai,,engineering hiring,"Audio & Video Data Tags: Marketplace, B2B, Data Labeling, Big Data, AI",~4,LinkedIn,Founding Engineer / Software Engineer
828,Locata,"New York City, NY",United States,https://www.locatahealth.com,,engineering hiring,AI Referral Automation for Primary Care Clinics,~4,LinkedIn,Founding Engineer / Software Engineer
829,"LOUISVILLE GEEK, LLC","Louisville, KY, United States",United States,https://louisvillegeek.com,,agency lead,Louisville digital agency hiring web developers.,11-50,LinkedIn,Web Developer
830,Lumari,"San Francisco, CA",United States,https://www.lumari.ai,,engineering hiring,"AI Digital Workers for Supply Chain Tags: B2B, Manufacturing, Supply Chain, Operations, AI",~5,LinkedIn,Founding Engineer / Software Engineer
831,Lumijes Technologies,"Gainesville, FL",United States,,,hiring,Florida tech firm posting multiple senior software engineer openings.,1-50,Indeed,Senior Software Engineer
832,Luminal,"San Francisco, CA",United States,https://luminal.com,,engineering hiring,"Making AI run fast on any hardware. Tags: AIOps, Developer Tools, Cloud Computing, AI",~5,LinkedIn,Founding Engineer / Software Engineer
833,Lumius,"Durham, NC",United States,https://www.lumius-imaging.com,,engineering hiring,"Fast, smart, accessible 3D ultrasound that anyone can use",~4,LinkedIn,Founding Engineer / Software Engineer
834,Luthor,"San Francisco, CA",United States,https://luthor.ai,,engineering hiring,"Real-time governance for enterprise communications Tags: B2B, Compliance, Marketing, Regtech, AI",~3,LinkedIn,Founding Engineer / Software Engineer
835,Magnetic,"San Francisco, CA",United States,https://www.magnetictax.com,,engineering hiring,AI Tax Preparer for CPA firms,1-10,LinkedIn,Founding Engineer / Software Engineer
836,MangoDesk,"San Francisco, CA",United States,https://www.mangodesk.com,,engineering hiring,Long-horizon RL environments Tags: AI,~2,LinkedIn,Founding Engineer / Software Engineer
837,Manicule,"San Francisco, CA",United States,https://manicule.dev,,engineering hiring,AgentRel — Devrel For Agents,~5,LinkedIn,Founding Engineer / Software Engineer
838,Mantis,"New York City, NY",United States,https://mantisbiotech.com,,engineering hiring,Digital Twins of humans,~3,LinkedIn,Founding Engineer / Software Engineer
839,Manufact,"San Francisco, CA",United States,https://manufact.com,,engineering hiring,"Cloud infrastructure for MCP servers and Claude / ChatGPT apps. Tags: Developer Tools, B2B, Open Source, Infrastructure, AI",~5,LinkedIn,Founding Engineer / Software Engineer
840,Maritime Fusion,"San Francisco, CA",United States,https://maritimefusion.com,,engineering hiring,"Fusion reactors for ships Tags: Fusion Energy, Hard Tech, Energy",1-10,LinkedIn,Founding Engineer / Software Engineer
841,Maywood,"New York City, NY",United States,https://maywoodai.com,,engineering hiring,The first finance-compliant proactive AI that runs 24/7,~5,LinkedIn,Founding Engineer / Software Engineer
842,Mbodi AI,"New York, NY",United States,https://www.mbodi.ai,,engineering hiring,"Industrial Robots that Learn and Operate Like Humans Tags: Robotics, Automation, AI",1-10,LinkedIn,Founding Engineer / Software Engineer
843,Mendral,"San Francisco, CA",United States,https://mendral.com,,engineering hiring,AI DevOps Engineer,~2,LinkedIn,Founding Engineer / Software Engineer
844,Mesh,"San Francisco, CA",United States,https://www.usemesh.com,,engineering hiring,"Eliminating accrual spreadsheets for faster month-end Tags: FinOps, Fintech, Finance, AI",~3,LinkedIn,Founding Engineer / Software Engineer
845,MindFort,"Los Angeles, CA",United States,https://mindfort.ai/?utm_source=ycombinator&utm_medium=referral&utm_campaign=yc,,engineering hiring,Autonomous Security Agents,~5,LinkedIn,Founding Engineer / Software Engineer
846,Minerva,"San Francisco, CA",United States,https://www.tryminerva.ai,,engineering hiring,AI native accounting firm,~5,LinkedIn,Founding Engineer / Software Engineer
847,Minicor,"San Francisco, CA",United States,https://minicor.com,,engineering hiring,Scalable windows desktop automations,1-10,LinkedIn,Founding Engineer / Software Engineer
848,Miso Labs,"San Francisco, CA",United States,https://misolabs.ai,,engineering hiring,Emotive foundation voice models,~2,LinkedIn,Founding Engineer / Software Engineer
849,Misprint,"New York, NY",United States,https://www.misprint.com,,engineering hiring,"Misprint is building Robinhood for Pokemon cards Tags: Marketplace, Consumer",~4,LinkedIn,Founding Engineer / Software Engineer
850,Mobomo,United States (Remote),United States,https://www.mobomo.com,,hiring,Digital agency/product studio hiring WordPress developers.,11-50,Indeed,WordPress Developer
851,MochaCare,"San Francisco, CA",United States,https://www.mochacare.com,,engineering hiring,Agentic Management Service for Care Organizations,~2,LinkedIn,Founding Engineer / Software Engineer
852,Moritz,"San Francisco, CA",United States,https://moritzlegal.com,,engineering hiring,Global AI-native law firm handling legal work with same-day turnaround,1-10,LinkedIn,Founding Engineer / Software Engineer
853,MorphoAI,"New York, NY",United States,https://morpho.ai,,engineering hiring,"Software tool for designing robots and machines Tags: Robotics, Manufacturing, AI",1-10,LinkedIn,Founding Engineer / Software Engineer
854,Moss,"San Francisco, CA",United States,https://moss.dev,,engineering hiring,"Real-time semantic search for Conversational AI Tags: Artificial Intelligence, Developer Tools, SaaS",~5,LinkedIn,Founding Engineer / Software Engineer
855,Mount,"San Francisco, CA",United States,https://mount.insure,,engineering hiring,The AI Agent Insurance Carrier,~2,LinkedIn,Founding Engineer / Software Engineer
856,MSPilot,"San Francisco, CA",United States,https://mspilot.io,,engineering hiring,"Turn AI adoption into a recurring revenue line. Tags: Generative AI, B2B, No-code, Infrastructure, AI",~3,LinkedIn,Founding Engineer / Software Engineer
857,Multifactor,"San Francisco, CA",United States,https://multifactor.com,,engineering hiring,"Zero-trust authentication, authorization, and auditing for AI agents",1-10,LinkedIn,Founding Engineer / Software Engineer
858,nao Labs,"San Francisco, CA",United States,https://getnao.io,,engineering hiring,"Open Source Analytics Agent Tags: Analytics, Open Source, AI",~2,LinkedIn,Founding Engineer / Software Engineer
859,Nashville Digital Group Inc,Nashville Metropolitan Area,United States,https://www.nashvilledigitalgroup.com,,engineering / agency lead,Digital agency hiring web/software developers.,11-50,LinkedIn,Web Developer
860,Nautilus,"San Francisco, CA",United States,https://nautilus.co,,engineering hiring,AI platform to grow and to optimize car washes,~3,LinkedIn,Founding Engineer / Software Engineer
861,Naïve,"San Francisco, CA",United States,https://usenaive.ai,,engineering hiring,"Unified Agent Infrastructure Tags: Artificial Intelligence, Infrastructure",1-10,LinkedIn,Founding Engineer / Software Engineer
862,Nessie,"San Francisco, CA",United States,https://nessielabs.com,,engineering hiring,"A shared context layer for you, your team, and your agents.",~2,LinkedIn,Founding Engineer
863,Nestor Digital - A RunDTC company,"Lead, SD / Remote USA",United States,,,agency lead,Shopify ecommerce agency (RunDTC) hiring Shopify technical leads.,11-50,LinkedIn,Shopify Technical Lead
864,NexGen Technologies,"Lakewood, CO",United States,,,hiring,Colorado tech firm hiring enterprise solutions architects on Indeed Denver searches.,11-50,Indeed,Enterprise Solutions Architect
865,Nexvel,"Elkins Park, PA",United States,https://nexvel.com,,hiring,Philadelphia-area digital agency hiring React/WordPress web developers in-office.,1-20,Indeed,Web Developer (React / WordPress - In-Office Philadelphia Suburbs)
866,Nitrode,"San Francisco, CA",United States,https://www.nitrode.com,,engineering hiring,"Frontier AI research to advance game development Tags: Machine Learning, B2B, Data Engineering, AI",1-10,LinkedIn,Founding Engineer / Software Engineer
867,Nixo,"San Francisco, CA",United States,https://withnixo.com,,engineering hiring,The first ops platform for forward deployed engineers,~4,LinkedIn,Founding Engineer / Software Engineer
868,"Noctrix Health, Inc.","Pittsburgh, PA",United States,https://www.noctrixhealth.com,,engineering / founders,Healthtech / digital health software company hiring engineers.,11-50,LinkedIn,Senior Full Stack Software Engineer
869,NOSO LABS,"San Francisco, CA",United States,https://noso.so,,engineering hiring,Build AI agents for field technicians to diagnose and sell 10x better Tags: Artificial Intelligence,~3,LinkedIn,Founding Engineer / Software Engineer
870,Novaflow,"San Francisco, CA",United States,https://www.novaflowapp.com,,engineering hiring,The AI data analyst for biology labs,~5,LinkedIn,Founding Engineer / Software Engineer
871,Novoflow,"San Francisco, CA",United States,https://www.novoflow.io,,engineering hiring,AI employees that automate medical operations for clinics.,1-10,LinkedIn,Founding Engineer / Software Engineer
872,Nozomio,"San Francisco, CA",United States,https://www.nozomio.com,,engineering hiring,"product lab solving context in ai Tags: Developer Tools, Consumer, AI",~5,LinkedIn,Founding Engineer / Software Engineer
873,Olive,"San Francisco, CA",United States,https://fromolive.com,,engineering hiring,"Curated stories, every day Tags: Productivity, Team Collaboration, AI",~2,LinkedIn,Founding Engineer / Software Engineer
874,Ombud,"Denver, CO",United States,https://ombud.com,,CEO / hiring,B2B SaaS agentic AI platform for revenue operations / RFP response automation.,11-50,LinkedIn,Senior Full Stack AI Engineer
875,One Robot,"San Francisco, CA",United States,https://www.onerobot.io,,engineering hiring,World models for robot evals and training.,~2,LinkedIn,Founding Engineer / Software Engineer
876,OneApp,"Portland, OR",United States,https://www.oneapp.rentals,,agency leadership / hiring,"OneApp offsets economic housing setbacks with modern, innovative solutions and a goal to house 1M peop...",51-100,LinkedIn,Product Designer - Portland Metro
877,Onlook,"San Francisco, CA",United States,https://onlook.com,,engineering hiring,"Cursor for Designers Tags: Artificial Intelligence, Developer Tools, Design, Design Tools",~4,LinkedIn,Founding Engineer / Software Engineer
878,OpenFunnel,"San Francisco, CA",United States,https://openfunnel.dev,,engineering hiring,"We monitor your TAM and surface companies when custom triggers fire. Tags: SaaS, B2B, Sales Enablement, AI",~4,LinkedIn,Founding Engineer / Software Engineer
879,OpenWork,"San Francisco, CA",United States,https://openworklabs.com,,engineering hiring,The open source alternative to Claude Cowork,~4,LinkedIn,Founding Engineer / Software Engineer
880,Optifye.ai,"San Francisco, CA",United States,https://www.optifye.ai,,engineering hiring,"AI performance monitoring for factory workers Tags: Hard Tech, Computer Vision, Manufacturing",1-10,LinkedIn,Founding Engineer / Software Engineer
881,Optimal Market Technologies,"Chicago, IL",United States,https://optimalmarkettech.com/,,engineering / founders,Optimal Market Technologies is transforming options execution with an innovative platform that empowers four leading market maker...,11-50,LinkedIn,Senior Developer
882,Orange Slice,"San Francisco, CA",United States,https://orangeslice.ai,,engineering hiring,Agentic sales enrichment spreadsheet,~2,LinkedIn,Founding Engineer / Software Engineer
883,Origin Therapy,"San Francisco, CA",United States,,,founders / hiring,YC-style healthtech startup automating pediatric therapy billing and admin with AI; employee #3-4 role.,1-10,LinkedIn,Founding Software Engineer
884,Osmosis,"San Francisco, CA",United States,https://osmosis.ai,,engineering hiring,"Reinforcement Learning (RL) for AI Agents Tags: Artificial Intelligence, Machine Learning, Reinforcement Learning, Infrastructure",1-10,LinkedIn,Founding Engineer / Software Engineer
885,Overdrive Health,"New York City, NY",United States,https://overdrive.health,,engineering hiring,AI-Native Medical Billing Services,~1,LinkedIn,Founding Engineer / Software Engineer
886,Overstand Labs,"New York City, NY",United States,https://overstandlabs.com,,engineering hiring,"Navigate any set of data - no matter how large - in minutes. Tags: Artificial Intelligence, LegalTech, Data Science, Data Engineering, Conversational AI",~4,LinkedIn,Founding Engineer / Software Engineer
887,Paces,"Brooklyn, NY",United States,https://www.paces.com,,hiring,Climate/built-environment software startup hiring full-stack engineers for AI agents.,11-50,LinkedIn,"Software Engineer, Full Stack"
888,Panels,"San Francisco, CA",United States,https://www.usepanels.com,,engineering hiring,Audio Data for AI Labs,~1,LinkedIn,Founding Engineer / Software Engineer
889,Pangolin,"San Francisco, CA",United States,https://pangolin.net,,engineering hiring,"Identity-aware VPN and proxy for remote access to anything, anywhere. Tags: Open Source, Enterprise Software, Networks",~3,LinkedIn,Founding Engineer / Software Engineer
890,Panthalassa,"Portland, OR",United States,https://panthalassa.com,,agency leadership / hiring,Software company / tech team hiring developers (sourced via LinkedIn Jobs).,51-100,LinkedIn,Brand Design Lead
891,Paragon,"San Francisco, CA",United States,https://www.runparagon.com,,engineering hiring,The AI Growth Engine for Industrials,~2,LinkedIn,Founding Engineer / Software Engineer
892,Parasma,"San Francisco, CA",United States,https://parasma.com,,engineering hiring,"Training human brain cells for AI compute Tags: Machine Learning, Neurotechnology, AI",~1,LinkedIn,Founding Engineer / Software Engineer
893,Parrot,"San Francisco, CA",United States,https://parrotapp.com,,engineering hiring,"TikTok for language learning Tags: AI-Enhanced Learning, Education",~3,LinkedIn,Founding Engineer / Software Engineer
894,Pave Robotics,"San Francisco, CA",United States,https://pave-robotics.com,,engineering hiring,Robots that repair roads,~3,LinkedIn,Founding Engineer / Software Engineer
895,Pax Historia,"San Francisco, CA",United States,https://www.paxhistoria.co,,engineering hiring,The first AI-powered grand strategy platform,~3,LinkedIn,Founding Engineer / Software Engineer
896,PAX Markets,"San Francisco, CA",United States,https://pax.markets,,engineering hiring,"More 𝛼, less latency: exchange and HFT on one chip.",1-10,LinkedIn,Founding Engineer / Software Engineer
897,Payna,"San Francisco, CA",United States,https://payna.com,,engineering hiring,AI Licensing Agent for Regulated Industries,~2,LinkedIn,Founding Engineer / Software Engineer
898,Pelica,"San Francisco, CA",United States,https://www.pelica.com,,engineering hiring,"Transforming healthcare operations with AI agents Tags: Artificial Intelligence, B2B, Healthcare, Healthcare IT, AI",~5,LinkedIn,Founding Engineer / Software Engineer
899,Peppr AI,"San Francisco, CA",United States,https://www.usepeppr.ai,,engineering hiring,"In-call AI teleprompter that helps reps close enterprise deals Tags: Sales, Sales Enablement",~4,LinkedIn,Founding Engineer / Software Engineer
900,Per Diem,United States,United States,https://tryperdiem.com,,hiring,YC-backed white-label mobile app platform for SMBs/restaurants hiring React Native engineers.,11-50,LinkedIn,React Native Engineer
901,"PerfectBit, Inc.","San Francisco, CA",United States,https://perfectbit.ai,,engineering hiring,Correct by construction AI training data,~2,LinkedIn,Research Engineer
902,PermitFlow,"New York, NY",United States,https://www.permitflow.com,,hiring,Construction permitting software startup (11-50) hiring software engineers.,11-50,LinkedIn,Software Engineer
903,PermitPortal,"San Francisco, CA",United States,https://permitportalapp.com,,engineering hiring,"AI Operating System for Pre-construction Tags: Real Estate, Construction, AI",~2,LinkedIn,Founding Engineer / Software Engineer
904,Perspectives Health,"Chicago, IL",United States,https://perspectiveshealth.ai,,engineering hiring,"Automating away admin for behavioral health clinics Tags: Workflow Automation, Healthcare, Mental Health, Healthcare IT",~5,LinkedIn,Founding Engineer / Software Engineer
905,PgDog,"San Francisco, CA",United States,https://pgdog.dev,,engineering hiring,Scaling engine for PostgreSQL Tags: Databases,~3,LinkedIn,Founding Engineer / Software Engineer
906,Photonium,"New York City, NY",United States,https://www.photoniumoptics.com,,engineering hiring,"AI-Powered Optical Consulting & Software Tags: Hard Tech, Hardware, Machine Learning, B2B, Manufacturing",~4,LinkedIn,Founding Engineer / Software Engineer
907,Ping Data Intelligence,"Miami, FL",United States,,,hiring,Miami property insurance ML startup hiring senior ML engineers.,1-20,LinkedIn,Senior ML Engineer
908,Pingo,"San Francisco, CA",United States,https://pingo.ai,,engineering hiring,AI companion that helps you learn languages,~4,LinkedIn,Founding Engineer / Software Engineer
909,Piris Labs,"San Francisco, CA",United States,https://pirislabs.io,,engineering hiring,"The Networking Layer of AI Tags: Artificial Intelligence, Hard Tech, Hardware, Infrastructure",1-10,LinkedIn,Founding Engineer / Software Engineer
910,PixeloLabs,"Commerce, MI, United States",United States,https://www.pixelolabs.com,,engineering / agency lead,US software/lab agency hiring web developers.,2-10,LinkedIn,WEB DEVELOPER
911,Ploy,"San Francisco, CA",United States,https://ploy.ai,,engineering hiring,Ploy turns your website into your company's growth engine.,11-50,LinkedIn,Founding Engineer
912,Pluto,"New York City, NY",United States,https://www.pluto.trade,,engineering hiring,"Regulated derivatives exchange Tags: Artificial Intelligence, FinOps, Fintech, Infrastructure",~5,LinkedIn,Founding Engineer / Software Engineer
913,Pocket,"San Francisco, CA",United States,https://heypocket.com/now,,engineering hiring,Take Notes in the Real World,11-50,LinkedIn,Backend Engineer
914,Polymath,"San Francisco, CA",United States,https://polymathlabs.ai,,engineering hiring,Simulation environments to train & evaluate long-horizon AI agents,~2,LinkedIn,Founding Engineer / Software Engineer
915,Preql AI,"New York, NY",United States,https://preql.ai,,hiring,Enterprise AI data platform for cleaning/reconciling ERP/CRM data.,11-50,LinkedIn,Senior Software Engineer
916,primitive,"San Francisco, CA",United States,https://primitive.dev,,engineering hiring,communication for agents,~4,LinkedIn,Founding Engineer / Software Engineer
917,Proception Inc,"San Francisco, CA",United States,https://proception.ai,,engineering hiring,"Making humanoids dexterous enough to thread a needle Tags: Artificial Intelligence, Robotics",1-10,LinkedIn,Founding Engineer / Software Engineer
918,ProcIndex,"San Francisco, CA",United States,https://procindex.com,,engineering hiring,"AI Agents for Accounting Operations Tags: Fintech, Finance, B2B, AI",~4,LinkedIn,Founding Engineer / Software Engineer
919,Proliferate,"San Francisco, CA",United States,https://proliferate.com?utm_source=yc&utm_medium=referral&utm_campaign=profile,,engineering hiring,"Manage a team of agents from your desktop Tags: Developer Tools, SaaS, B2B, AI",1-20,LinkedIn,Founding Engineer / Software Engineer
